Lineas,Linea 1,Linea 2,Linea 3,Linea 4,Linea 5,Linea 6,Linea 7,Linea 8,Linea 9,Linea A,Linea B,Linea 12
Enero ,19988741,22665075,18770656,2500924,6872948,4008772,8544089,10695483,9316765,8099593,12160441,9944325
Febrero,18633365,21917018,18745531,2401812,6869255,4113580,8210652,10417526,9067098,7975896,11892517,8823854
Marzo,19448532,23038685,19035237,2480197,7237306,4171374,8463549,11261409,9398478,8480756,12613668,10201882
Abril,19560973,23256293,19451130,2519678,7465237,4278412,8716987,11281599,9397227,8351195,12675030,10426897
Mayo,20363599,23385519,19714728,2607497,7485841,4345743,8930888,11463940,9811123,8583024,13064025,10852372
Junio,20074469,22373781,18299620,2448285,7019308,4130962,8993881,11151177,9295360,7892154,12463523,10541426
Julio,20367505,22108233,17474504,2405481,6876599,3883360,8844678,10838873,9321918,7925067,12047615,10240109
Agosto,21969410,23856636,20299860,2672863,7977332,4454994,9255598,11677402,9882606,9106331,13461589,11381973
Septiembre,20145158,22502121,18807794,2557740,7417217,4232280,8923786,10814008,9296529,8519808,12826006,10816390
Octubre,21781516,24679280,20661481,2781387,7966670,4710037,10254008,11925078,10242216,9759886,13745886,11956264
Noviembre,20288153,22380256,18574235,2583993,7367969,4318314,9289991,11368722,9415909,9249167,12976095,10619731
Diciembre,20528663,22374195,16649070,2639501,6781180,3906832,8123664,10824421,8871867,8633290,12806339,10110482