Estacion,Geometry,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint,
Acatitla,"{""type"": ""Point"", ""coordinates"": [-99.00597811, 19.3642515]}",14204,,Acatitla,Metro A,19.3642515,-99.00597811,La Paz - Pantitlán,METRO,"19.3642515,-99.00597811",14204
Aculco,"{""type"": ""Point"", ""coordinates"": [-99.10739779, 19.37292574]}",14087,,Aculco,Metro 8,19.37292574,-99.10739779,Garibaldi - Constitución de 1917,METRO,"19.37292574,-99.10739779",14087
Agrícola Oriental,"{""type"": ""Point"", ""coordinates"": [-99.06982541, 19.40404596]}",14070,,Agrícola Oriental,Metro A,19.40404596,-99.06982541,La Paz - Pantitlán,METRO,"19.40404596,-99.06982541",14070
Allende,"{""type"": ""Point"", ""coordinates"": [-99.13670897, 19.43547387]}",14163,,Allende,Metro 2,19.43547387,-99.13670897,Cuatro Caminos - Tasqueña,METRO,"19.43547387,-99.13670897",14163
Apatlaco,"{""type"": ""Point"", ""coordinates"": [-99.10934, 19.378298]}",14095,,Apatlaco,Metro 8,19.378298,-99.10934,Garibaldi - Constitución de 1917,METRO,"19.378298,-99.10934",14095
Aquiles Serdán,"{""type"": ""Point"", ""coordinates"": [-99.194511, 19.489367]}",14131,,Aquiles Serdán,Metro 7,19.489367,-99.194511,Barranca del Muerto - El Rosario,METRO,"19.489367,-99.194511",14131
Aragón,"{""type"": ""Point"", ""coordinates"": [-99.09598231, 19.45101356]}",14060,,Aragón,Metro 5,19.45101356,-99.09598231,Pantitlán - Politécnico,METRO,"19.45101356,-99.09598231",14060
Atlalilco,"{""type"": ""Point"", ""coordinates"": [-99.10157204, 19.35570839]}",14066,,Atlalilco,Metro Línea 8 correspondencia con línea 12.,19.35570839,-99.10157204,Garibaldi - Constitución de 1917,METRO,"19.35570839,-99.10157204",14066
Atlalilco,"{""type"": ""Point"", ""coordinates"": [-99.10632491, 19.35264126]}",42427,,Atlalilco_1,Metro Línea 12 correspondencia con línea 8.,19.35264126,-99.10632491,Tláhuac - Mixcoac,METRO,"19.35264126,-99.10632491",42427
Auditorio,"{""type"": ""Point"", ""coordinates"": [-99.19173717, 19.42530549]}",14115,,Auditorio,Metro 7,19.42530549,-99.19173717,Barranca del Muerto - El Rosario,METRO,"19.42530549,-99.19173717",14115
Autobuses del Norte,"{""type"": ""Point"", ""coordinates"": [-99.140471, 19.478595]}",14193,,Autobuses del Norte,Metro 5,19.478595,-99.140471,Pantitlán - Politécnico,METRO,"19.478595,-99.140471",14193
Azcapotzalco,"{""type"": ""Point"", ""coordinates"": [-99.18621182, 19.49067553]}",14129,,Azcapotzalco_1,Metro 6,19.49067553,-99.18621182,Martín Carrera - El Rosario,METRO,"19.49067553,-99.18621182",14129
Balbuena,"{""type"": ""Point"", ""coordinates"": [-99.10281658, 19.42288725]}",14172,,Balbuena,Metro 1,19.42288725,-99.10281658,Observatorio - Pantitlán,METRO,"19.42288725,-99.10281658",14172
Balderas,"{""type"": ""Point"", ""coordinates"": [-99.1488111, 19.42692438]}",14139,,Balderas_1,Metro Línea 3 correspondencia con línea 1.,19.42692438,-99.1488111,Indios Verdes - Universidad,METRO,"19.42692438,-99.1488111",14139
Balderas,"{""type"": ""Point"", ""coordinates"": [-99.14912224, 19.42729875]}",14157,,Balderas_1_2,Metro Línea 1 correspondencia con línea 3.,19.42729875,-99.14912224,Observatorio - Pantitlán,METRO,"19.42729875,-99.14912224",14157
Barranca del Muerto,"{""type"": ""Point"", ""coordinates"": [-99.18895841, 19.3614882]}",14080,,Barranca del Muerto,Metro 7,19.3614882,-99.18895841,Barranca del Muerto - El Rosario,METRO,"19.3614882,-99.18895841",14080
Bellas Artes,"{""type"": ""Point"", ""coordinates"": [-99.14061427, 19.43649573]}",14141,,Bellas Artes_1,Metro Línea 8 correspondencia con línea 2.,19.43649573,-99.14061427,Garibaldi - Constitución de 1917,METRO,"19.43649573,-99.14061427",14141
Bellas Artes,"{""type"": ""Point"", ""coordinates"": [-99.14155841, 19.43595951]}",14162,,Bellas Artes_1_2,Metro Línea 2 correspondencia con línea 8.,19.43595951,-99.14155841,Cuatro Caminos - Tasqueña,METRO,"19.43595951,-99.14155841",14162
Blvd. Puerto Aéreo,"{""type"": ""Point"", ""coordinates"": [-99.09606814, 19.41958866]}",14053,,Blvd. Puerto Aéreo,Metro 1,19.41958866,-99.09606814,Observatorio - Pantitlán,METRO,"19.41958866,-99.09606814",14053
Bondojito,"{""type"": ""Point"", ""coordinates"": [-99.1117537, 19.46450842]}",14102,,Bondojito_1,Metro 4,19.46450842,-99.1117537,Martín Carrera - Santa Anita,METRO,"19.46450842,-99.1117537",14102
Bosque de Aragón,"{""type"": ""Point"", ""coordinates"": [-99.06927824, 19.45807473]}",14219,,Bosque de Aragón,Metro B,19.45807473,-99.06927824,Buenavista - Ciudad Azteca,METRO,"19.45807473,-99.06927824",14219
Buenavista,"{""type"": ""Point"", ""coordinates"": [-99.15289879, 19.44615757]}",14170,,Buenavista_1_4,Metro B,19.44615757,-99.15289879,Buenavista - Ciudad Azteca,METRO,"19.44615757,-99.15289879",14170
Calle 11,"{""type"": ""Point"", ""coordinates"": [-99.08486724, 19.32025578]}",14234,,Calle 11,Metro 12,19.32025578,-99.08486724,Tláhuac - Mixcoac,METRO,"19.32025578,-99.08486724",14234
Camarones,"{""type"": ""Point"", ""coordinates"": [-99.18894768, 19.47873042]}",14132,,Camarones,Metro 7,19.47873042,-99.18894768,Barranca del Muerto - El Rosario,METRO,"19.47873042,-99.18894768",14132
Canal de San Juan,"{""type"": ""Point"", ""coordinates"": [-99.05969739, 19.39821706]}",14071,,Canal de San Juan_1_3,Metro A,19.39821706,-99.05969739,La Paz - Pantitlán,METRO,"19.39821706,-99.05969739",14071
Canal del Norte,"{""type"": ""Point"", ""coordinates"": [-99.11589503, 19.44866652]}",14181,,Canal del Norte_1,Metro 4,19.44866652,-99.11589503,Martín Carrera - Santa Anita,METRO,"19.44866652,-99.11589503",14181
Candelaria,"{""type"": ""Point"", ""coordinates"": [-99.11989689, 19.42909974]}",14134,,Candelaria,Metro Línea 1 correspondencia con línea 4.,19.42909974,-99.11989689,Observatorio - Pantitlán,METRO,"19.42909974,-99.11989689",14134
Candelaria,"{""type"": ""Point"", ""coordinates"": [-99.11890984, 19.42917056]}",42487,,Candelaria_1,Metro Línea 4 correspondencia con línea 1.,19.42917056,-99.11890984,Martín Carrera - Santa Anita,METRO,"19.42917056,-99.11890984",42487
Centro Médico,"{""type"": ""Point"", ""coordinates"": [-99.15531278, 19.40749665]}",14058,,Centro Médico_1,Metro Línea 3 correspondencia con línea 9.,19.40749665,-99.15531278,Indios Verdes - Universidad,METRO,"19.40749665,-99.15531278",14058
Centro Médico,"{""type"": ""Point"", ""coordinates"": [-99.15504456, 19.40636329]}",14109,,Centro Médico_1_2,Metro Línea 9 correspondencia con línea 3.,19.40636329,-99.15504456,Tacubaya - Pantitlán,METRO,"19.40636329,-99.15504456",14109
Cerro de la Estrella,"{""type"": ""Point"", ""coordinates"": [-99.085872, 19.355601]}",14203,,Cerro de la Estrella,Metro 8,19.355601,-99.085872,Garibaldi - Constitución de 1917,METRO,"19.355601,-99.085872",14203
Chabacano,"{""type"": ""Point"", ""coordinates"": [-99.135489, 19.408513]}",14145,,Chabacano,Metro Línea 9 correspondencia con línea 2 y línea 8.,19.408513,-99.135489,Tacubaya - Pantitlán,METRO,"19.408513,-99.135489",14145
Chabacano,"{""type"": ""Point"", ""coordinates"": [-99.13574338, 19.40853892]}",14155,,Chabacano_1,Metro Línea 8 correspondencia con línea 2 y línea 9.,19.40853892,-99.13574338,Garibaldi - Constitución de 1917,METRO,"19.40853892,-99.13574338",14155
Chabacano,"{""type"": ""Point"", ""coordinates"": [-99.13542151, 19.40891333]}",14159,,Chabacano_1_2,Metro Línea 2 correspondencia con línea 8 y línea 9.,19.40891333,-99.13542151,Cuatro Caminos - Tasqueña,METRO,"19.40891333,-99.13542151",14159
Chapultepec,"{""type"": ""Point"", ""coordinates"": [-99.17658806, 19.42025648]}",14119,,Chapultepec,Metro 1,19.42025648,-99.17658806,Observatorio - Pantitlán,METRO,"19.42025648,-99.17658806",14119
Chilpancingo,"{""type"": ""Point"", ""coordinates"": [-99.1683054, 19.40575613]}",14110,,Chilpancingo_1_2,Metro 9,19.40575613,-99.1683054,Tacubaya - Pantitlán,METRO,"19.40575613,-99.1683054",14110
Ciudad Azteca,"{""type"": ""Point"", ""coordinates"": [-99.02711391, 19.53444312]}",14208,,Ciudad Azteca,Metro B,19.53444312,-99.02711391,Buenavista - Ciudad Azteca,METRO,"19.53444312,-99.02711391",14208
Ciudad Deportiva,"{""type"": ""Point"", ""coordinates"": [-99.09135818, 19.40811392]}",14069,,Ciudad Deportiva,Metro 9,19.40811392,-99.09135818,Tacubaya - Pantitlán,METRO,"19.40811392,-99.09135818",14069
Colegio Militar,"{""type"": ""Point"", ""coordinates"": [-99.17122364, 19.44864628]}",14124,,Colegio Militar,Metro 2,19.44864628,-99.17122364,Cuatro Caminos - Tasqueña,METRO,"19.44864628,-99.17122364",14124
Constitución de 1917,"{""type"": ""Point"", ""coordinates"": [-99.063367, 19.345135]}",14202,,Constitución de 1917,Metro 8,19.345135,-99.063367,Garibaldi - Constitución de 1917,METRO,"19.345135,-99.063367",14202
Constituyentes,"{""type"": ""Point"", ""coordinates"": [-99.19138312, 19.41129131]}",14116,,Constituyentes_1_2,Metro 7,19.41129131,-99.19138312,Barranca del Muerto - El Rosario,METRO,"19.41129131,-99.19138312",14116
Consulado,"{""type"": ""Point"", ""coordinates"": [-99.11388874, 19.45682033]}",14185,,Consulado,Metro Línea 4 correspondencia con línea 5.,19.45682033,-99.11388874,Martín Carrera - Santa Anita,METRO,"19.45682033,-99.11388874",14185
Consulado,"{""type"": ""Point"", ""coordinates"": [-99.11348104, 19.455485]}",15154,,Consulado_1,Metro Línea 5 correspondencia con línea 4.,19.455485,-99.11348104,Pantitlán - Politécnico,METRO,"19.455485,-99.11348104",15154
Copilco,"{""type"": ""Point"", ""coordinates"": [-99.17657733, 19.33597857]}",14075,,Copilco,Metro 3,19.33597857,-99.17657733,Indios Verdes - Universidad,METRO,"19.33597857,-99.17657733",14075
Coyoacán,"{""type"": ""Point"", ""coordinates"": [-99.17056918, 19.36142746]}",14078,,Coyoacán,Metro 3,19.36142746,-99.17056918,Indios Verdes - Universidad,METRO,"19.36142746,-99.17056918",14078
Coyuya,"{""type"": ""Point"", ""coordinates"": [-99.113413, 19.39769]}",14065,,Coyuya_1,Metro 8,19.39769,-99.113413,Garibaldi - Constitución de 1917,METRO,"19.39769,-99.113413",14065
Cuatro Caminos,"{""type"": ""Point"", ""coordinates"": [-99.214643, 19.458454]}",14117,,Cuatro Caminos,Metro 2,19.458454,-99.214643,Cuatro Caminos - Tasqueña,METRO,"19.458454,-99.214643",14117
Cuauhtémoc,"{""type"": ""Point"", ""coordinates"": [-99.15455103, 19.42565962]}",14096,,Cuauhtémoc_1_2,Metro 1,19.42565962,-99.15455103,Observatorio - Pantitlán,METRO,"19.42565962,-99.15455103",14096
Cuitláhuac,"{""type"": ""Point"", ""coordinates"": [-99.181555, 19.45668]}",14125,,Cuitláhuac_1_4,Metro 2,19.45668,-99.181555,Cuatro Caminos - Tasqueña,METRO,"19.45668,-99.181555",14125
Culhuacán,"{""type"": ""Point"", ""coordinates"": [-99.10894275, 19.33887391]}",14237,,Culhuacán,Metro 12,19.33887391,-99.10894275,Tláhuac - Mixcoac,METRO,"19.33887391,-99.10894275",14237
Deptvo. 18 de Marzo,"{""type"": ""Point"", ""coordinates"": [-99.12543297, 19.4840507]}",14187,,Deportivo 18 de Marzo_1_3,Metro Línea 3 correspondencia con línea 6.,19.4840507,-99.12543297,Indios Verdes - Universidad,METRO,"19.4840507,-99.12543297",14187
Deptvo. 18 de Marzo,"{""type"": ""Point"", ""coordinates"": [-99.12576556, 19.48358544]}",14190,,Deportivo 18 de Marzo_1_4,Metro Línea 6 correspondencia con línea 3.,19.48358544,-99.12576556,Martín Carrera - El Rosario,METRO,"19.48358544,-99.12576556",14190
Deportivo Oceanía,"{""type"": ""Point"", ""coordinates"": [-99.07917023, 19.45077077]}",14220,,Deportivo Oceanía,Metro B,19.45077077,-99.07917023,Buenavista - Ciudad Azteca,METRO,"19.45077077,-99.07917023",14220
División del Norte,"{""type"": ""Point"", ""coordinates"": [-99.15950775, 19.3789276]}",14083,,División del Norte,Metro 3,19.3789276,-99.15950775,Indios Verdes - Universidad,METRO,"19.3789276,-99.15950775",14083
Doctores,"{""type"": ""Point"", ""coordinates"": [-99.14335012, 19.42049932]}",14153,,Doctores,Metro 8,19.42049932,-99.14335012,Garibaldi - Constitución de 1917,METRO,"19.42049932,-99.14335012",14153
Eduardo Molina,"{""type"": ""Point"", ""coordinates"": [-99.10544515, 19.45112485]}",14184,,Eduardo Molina_1,Metro 5,19.45112485,-99.10544515,Pantitlán - Politécnico,METRO,"19.45112485,-99.10544515",14184
Eje Central,"{""type"": ""Point"", ""coordinates"": [-99.15133238, 19.36118453]}",14239,,Eje Central_1_3,Metro 12,19.36118453,-99.15133238,Tláhuac - Mixcoac,METRO,"19.36118453,-99.15133238",14239
El Rosario,"{""type"": ""Point"", ""coordinates"": [-99.19948339, 19.50522896]}",14127,,El Rosario_1,Metro Línea 6 correspondencia con línea 7.,19.50522896,-99.19948339,Martín Carrera - El Rosario,METRO,"19.50522896,-99.19948339",14127
El Rosario,"{""type"": ""Point"", ""coordinates"": [-99.20029879, 19.5039547]}",14130,,El Rosario_1_2,Metro Línea 7 correspondencia con línea 6.,19.5039547,-99.20029879,Barranca del Muerto - El Rosario,METRO,"19.5039547,-99.20029879",14130
Ermita,"{""type"": ""Point"", ""coordinates"": [-99.14263129, 19.36186271]}",14086,,Ermita,Metro 2,19.36186271,-99.14263129,Cuatro Caminos - Tasqueña,METRO,"19.36186271,-99.14263129",14086
Ermita,"{""type"": ""Point"", ""coordinates"": [-99.1448307, 19.36030391]}",42430,,Ermita_1,Metro Línea 12,19.36030391,-99.1448307,Tláhuac - Mixcoac,METRO,"19.36030391,-99.1448307",42430
Escuadrón 201,"{""type"": ""Point"", ""coordinates"": [-99.10931826, 19.36449442]}",14088,,Escuadrón 201,Metro 8,19.36449442,-99.10931826,Garibaldi - Constitución de 1917,METRO,"19.36449442,-99.10931826",14088
Etiopía,"{""type"": ""Point"", ""coordinates"": [-99.15617108, 19.39604129]}",14059,,Etiopía / Plaza de la Transpatencia,Metro 3,19.39604129,-99.15617108,Indios Verdes - Universidad,METRO,"19.39604129,-99.15617108",14059
Eugenia,"{""type"": ""Point"", ""coordinates"": [-99.15724397, 19.38628539]}",14074,,Eugenia,Metro 3,19.38628539,-99.15724397,Indios Verdes - Universidad,METRO,"19.38628539,-99.15724397",14074
Ferrería,"{""type"": ""Point"", ""coordinates"": [-99.173702, 19.49039233]}",14133,,Ferrería,Metro 6,19.49039233,-99.173702,Martín Carrera - El Rosario,METRO,"19.49039233,-99.173702",14133
Fray Servando,"{""type"": ""Point"", ""coordinates"": [-99.12033677, 19.42149092]}",14174,,Fray Servando,Metro 4,19.42149092,-99.12033677,Martín Carrera - Santa Anita,METRO,"19.42149092,-99.12033677",14174
Garibaldi,"{""type"": ""Point"", ""coordinates"": [-99.139954, 19.443376]}",14165,,Garibaldi,Metro Línea B correspondencia con línea 8.,19.443376,-99.139954,Buenavista - Ciudad Azteca,METRO,"19.443376,-99.139954",14165
Garibaldi,"{""type"": ""Point"", ""coordinates"": [-99.139034, 19.443082]}",14169,,Garibaldi_1,Metro Línea 8 correspondencia con línea B.,19.443082,-99.139034,Garibaldi - Constitución de 1917,METRO,"19.443082,-99.139034",14169
General Anaya,"{""type"": ""Point"", ""coordinates"": [-99.14478779, 19.35319801]}",14089,,General Anaya,Metro 2,19.35319801,-99.14478779,Cuatro Caminos - Tasqueña,METRO,"19.35319801,-99.14478779",14089
Gómez Farías,"{""type"": ""Point"", ""coordinates"": [-99.09070373, 19.41608763]}",14052,,Gómez Farías,Metro 1,19.41608763,-99.09070373,Observatorio - Pantitlán,METRO,"19.41608763,-99.09070373",14052
Guelatao,"{""type"": ""Point"", ""coordinates"": [-99.03579354, 19.38459525]}",14198,,Guelatao,Metro A,19.38459525,-99.03579354,La Paz - Pantitlán,METRO,"19.38459525,-99.03579354",14198
Guerrero,"{""type"": ""Point"", ""coordinates"": [-99.14501309, 19.44475133]}",14164,,Guerrero_1_3,Metro Línea 3 correspondencia con línea B.,19.44475133,-99.14501309,Indios Verdes - Universidad,METRO,"19.44475133,-99.14501309",14164
Guerrero,"{""type"": ""Point"", ""coordinates"": [-99.1463542, 19.44522682]}",14166,,Guerrero_1_4,Metro Línea B correspondencia con línea 3.,19.44522682,-99.1463542,Buenavista - Ciudad Azteca,METRO,"19.44522682,-99.1463542",14166
Hangares,"{""type"": ""Point"", ""coordinates"": [-99.087095, 19.423251]}",14213,,Hangares,Metro 5,19.423251,-99.087095,Pantitlán - Politécnico,METRO,"19.423251,-99.087095",14213
Hidalgo,"{""type"": ""Point"", ""coordinates"": [-99.14730906, 19.4376997]}",14167,,Hidalgo_1_2,Metro Línea 2 correspondencia con línea 3.,19.4376997,-99.14730906,Cuatro Caminos - Tasqueña,METRO,"19.4376997,-99.14730906",14167
Hidalgo,"{""type"": ""Point"", ""coordinates"": [-99.14681554, 19.43674867]}",14168,,Hidalgo_1_3,Metro Línea 3 correspondencia con línea 2.,19.43674867,-99.14681554,Indios Verdes - Universidad,METRO,"19.43674867,-99.14681554",14168
20 de Noviembre,"{""type"": ""Point"", ""coordinates"": [-99.17099833, 19.37192372]}",14241,,Hospital 20 de Nov.,Metro 12,19.37192372,-99.17099833,Tláhuac - Mixcoac,METRO,"19.37192372,-99.17099833",14241
Hospital General,"{""type"": ""Point"", ""coordinates"": [-99.1531992, 19.41369961]}",14152,,Hospital General_1,Metro 3,19.41369961,-99.1531992,Indios Verdes - Universidad,METRO,"19.41369961,-99.1531992",14152
Impulsora,"{""type"": ""Point"", ""coordinates"": [-99.048743, 19.484987]}",14223,,Impulsora,Metro B,19.484987,-99.048743,Buenavista - Ciudad Azteca,METRO,"19.484987,-99.048743",14223
Indios Verdes,"{""type"": ""Point"", ""coordinates"": [-99.119141, 19.495315]}",14186,,Indios Verdes_1,Metro 3,19.495315,-99.119141,Indios Verdes - Universidad,METRO,"19.495315,-99.119141",14186
Inst. del Petróleo,"{""type"": ""Point"", ""coordinates"": [-99.14638638, 19.49054404]}",42489,,Instituto del Petroleo,Metro Línea 6 correspondencia con línea 5.,19.49054404,-99.14638638,Martín Carrera - El Rosario,METRO,"19.49054404,-99.14638638",42489
Inst. del Petróleo,"{""type"": ""Point"", ""coordinates"": [-99.14455175, 19.489836060000002]}",14194,,Instituto del Petróleo_1,Metro Línea 6 correspondencia con línea 5.,19.48983606,-99.14455175,Pantitlán - Politécnico,METRO,"19.48983606,-99.14455175",14194
Insurgentes Sur,"{""type"": ""Point"", ""coordinates"": [-99.17859435, 19.37360387]}",14242,,Insurgentes Sur_1,Metro 12,19.37360387,-99.17859435,Tláhuac - Mixcoac,METRO,"19.37360387,-99.17859435",14242
Insurgentes,"{""type"": ""Point"", ""coordinates"": [-99.16325212, 19.42359552]}",14097,,Insurgentes_1_5,Metro 1,19.42359552,-99.16325212,Observatorio - Pantitlán,METRO,"19.42359552,-99.16325212",14097
Isabel la Católica,"{""type"": ""Point"", ""coordinates"": [-99.13782477, 19.4260947]}",14149,,Isabel la Católica_1_5,Metro 1,19.4260947,-99.13782477,Observatorio - Pantitlán,METRO,"19.4260947,-99.13782477",14149
Iztacalco,"{""type"": ""Point"", ""coordinates"": [-99.112086, 19.388092]}",14094,,Iztacalco_1,Metro 8,19.388092,-99.112086,Garibaldi - Constitución de 1917,METRO,"19.388092,-99.112086",14094
Iztapalapa,"{""type"": ""Point"", ""coordinates"": [-99.09341812, 19.35760127]}",14067,,Iztapalapa,Metro 8,19.35760127,-99.09341812,Garibaldi - Constitución de 1917,METRO,"19.35760127,-99.09341812",14067
Jamaica,"{""type"": ""Point"", ""coordinates"": [-99.12227869, 19.40894369]}",14144,,Jamaica,Metro Línea 9 correspondencia con línea 4.,19.40894369,-99.12227869,Tacubaya - Pantitlán,METRO,"19.40894369,-99.12227869",14144
Jamaica,"{""type"": ""Point"", ""coordinates"": [-99.12203193, 19.41014786]}",14175,,Jamaica_1,Metro Línea 4 correspondencia con línea 9.,19.41014786,-99.12203193,Martín Carrera - Santa Anita,METRO,"19.41014786,-99.12203193",14175
Juanacatlán,"{""type"": ""Point"", ""coordinates"": [-99.18207049, 19.41290022]}",14120,,Juanacatlán,Metro 1,19.41290022,-99.18207049,Observatorio - Pantitlán,METRO,"19.41290022,-99.18207049",14120
Juárez,"{""type"": ""Point"", ""coordinates"": [-99.14771676, 19.43336942]}",14138,,Juárez_1_3,Metro 3,19.43336942,-99.14771676,Indios Verdes - Universidad,METRO,"19.43336942,-99.14771676",14138
La Paz,"{""type"": ""Point"", ""coordinates"": [-98.96061659, 19.35048513]}",14207,,La Paz,Metro A,19.35048513,-98.96061659,La Paz - Pantitlán,METRO,"19.35048513,-98.96061659",14207
La Raza,"{""type"": ""Point"", ""coordinates"": [-99.13904786, 19.46907052]}",14099,,La Raza_1_2,Metro Línea 3 correspondencia con línea 5.,19.46907052,-99.13904786,Indios Verdes - Universidad,METRO,"19.46907052,-99.13904786",14099
La Raza,"{""type"": ""Point"", ""coordinates"": [-99.136176, 19.468965]}",14103,,La Raza_1_3,Metro Línea 5 correspondencia con línea 3.,19.468965,-99.136176,Pantitlán - Politécnico,METRO,"19.468965,-99.136176",14103
La Viga,"{""type"": ""Point"", ""coordinates"": [-99.125973, 19.406106]}",14143,,La Viga_1,Metro 8,19.406106,-99.125973,Garibaldi - Constitución de 1917,METRO,"19.406106,-99.125973",14143
